REGION_CODE;REGION_NAME;CITY_CODE;CITY_NAME;COUNTRY_CODE
00;Alabama;00 - 00;CALHOUN;US
25;Cundinamarca;25 - 524;PANDI;CO
00;Alabama;00 - 01;LEE;US
05;Antioquia;05 - 002;ABEJORRAL;CO
00;Alabama;00 - 02;BIBB;US
76;Valle del Cauca;76 - 403;LA VICTORIA;CO
00;Alabama;00 - 03;BLOUNT;US
25;Cundinamarca;25 - 535;PASCA;CO
00;Alabama;00 - 04;CHILTON;US
05;Antioquia;05 - 021;ALEJANDRÍA;CO
00;Alabama;00 - 05;JEFFERSON;US
76;Valle del Cauca;76 - 520;PALMIRA;CO
00;Alabama;00 - 06;SHELBY;US
25;Cundinamarca;25 - 580;PULÍ;CO
00;Alabama;00 - 07;ST CLAIR;US
05;Antioquia;05 - 031;AMALFI;CO
00;Alabama;00 - 08;WALKER;US
76;Valle del Cauca;76 - 606;RESTREPO;CO
00;Alabama;00 - 09;RUSSELL;US
25;Cundinamarca;25 - 594;QUETAME;CO
00;Alabama;00 - 10;LAWRENCE;US
05;Antioquia;05 - 036;ANGELÓPOLIS;CO
00;Alabama;00 - 11;MORGAN;US
76;Valle del Cauca;76 - 622;ROLDANILLO;CO
00;Alabama;00 - 12;GENEVA;US
25;Cundinamarca;25 - 599;APULO;CO
00;Alabama;00 - 13;HENRY;US
05;Antioquia;05 - 040;ANORÍ;CO
00;Alabama;00 - 14;HOUSTON;US
76;Valle del Cauca;76 - 736;SEVILLA;CO
00;Alabama;00 - 15;COLBERT;US
25;Cundinamarca;25 - 645;SAN ANTONIO DEL TEQUENDAMA;CO
00;Alabama;00 - 16;LAUDERDALE;US
05;Antioquia;05 - 044;ANZA;CO
00;Alabama;00 - 17;ETOWAH;US
76;Valle del Cauca;76 - 828;TRUJILLO;CO
00;Alabama;00 - 18;LIMESTONE;US
25;Cundinamarca;25 - 653;SAN CAYETANO;CO
00;Alabama;00 - 19;MADISON;US
05;Antioquia;05 - 051;ARBOLETES;CO
00;Alabama;00 - 20;MOBILE;US
76;Valle del Cauca;76 - 845;ULLOA;CO
00;Alabama;00 - 21;AUTAUGA;US
25;Cundinamarca;25 - 662;SAN JUAN DE RÍO SECO;CO
00;Alabama;00 - 22;ELMORE;US
05;Antioquia;05 - 059;ARMENIA;CO
00;Alabama;00 - 23;LOWNDES;US
76;Valle del Cauca;76 - 250;VERSALLES;CO
00;Alabama;00 - 24;MONTGOMERY;US
25;Cundinamarca;25 - 736;SESQUILÉ;CO
76;Valle del Cauca;76 - 869;VIJES;CO
05;Antioquia;05 - 086;BELMIRA;CO
00;Alabama;00 - 25;GREENE;US
00;Alabama;00 - 26;HALE;US
00;Alabama;00 - 27;TUSCALOOSA;US
25;Cundinamarca;25 - 743;SILVANIA;CO
76;Valle del Cauca;76 - 892;YUMBO;CO
05;Antioquia;05 - 091;BETANIA;CO
00;Alabama;00 - 28;BALDWIN;US
00;Alabama;00 - 29;BARBOUR;US
00;Alabama;00 - 30;BULLOCK;US
25;Cundinamarca;25 - 754;SOACHA;CO
81;Arauca;81 - 001;ARAUCA;CO
05;Antioquia;05 - 101;CIUDAD BOLÍVAR;CO
00;Alabama;00 - 31;BUTLER;US
00;Alabama;00 - 32;CHAMBERS;US
00;Alabama;00 - 33;CHEROKEE;US
25;Cundinamarca;25 - 769;SUBACHOQUE;CO
81;Arauca;81 - 220;CRAVO NORTE;CO
05;Antioquia;05 - 113;BURITICÁ;CO
00;Alabama;00 - 34;CHOCTAW;US
00;Alabama;00 - 35;CLARKE;US
00;Alabama;00 - 36;CLAY;US
25;Cundinamarca;25 - 777;SUPATÁ;CO
81;Arauca;81 - 591;PUERTO RONDÓN;CO
05;Antioquia;05 - 125;CAICEDO;CO
00;Alabama;00 - 37;CLEBURNE;US
00;Alabama;00 - 38;COFFEE;US
00;Alabama;00 - 39;CONECUH;US
25;Cundinamarca;25 - 781;SUTATAUSA;CO
81;Arauca;81 - 794;TAME;CO
05;Antioquia;05 - 134;CAMPAMENTO;CO
25;Cundinamarca;25 - 793;TAUSA;CO
85;Casanare;85 - 010;AGUAZUL;CO
05;Antioquia;05 - 142;CARACOLÍ;CO
03;Arkansas;03 - 81;SALINE;US
03;Arkansas;03 - 82;CRITTENDEN;US
03;Arkansas;03 - 83;CLEVELAND;US
25;Cundinamarca;25 - 799;TENJO;CO
85;Casanare;85 - 125;HATO COROZAL;CO
05;Antioquia;05 - 147;CAREPA;CO
03;Arkansas;03 - 84;JEFFERSON;US
03;Arkansas;03 - 85;LINCOLN;US
03;Arkansas;03 - 86;MILLER;US
25;Cundinamarca;25 - 807;TIBIRITA;CO
85;Casanare;85 - 139;MANÍ;CO
05;Antioquia;05 - 150;CAROLINA;CO
03;Arkansas;03 - 87;ARKANSAS;US
03;Arkansas;03 - 88;ASHLEY;US
03;Arkansas;03 - 89;BAXTER;US
25;Cundinamarca;25 - 817;TOCANCIPÁ;CO
85;Casanare;85 - 225;NUNCHÍA;CO
05;Antioquia;05 - 172;CHIGORODÓ;CO
03;Arkansas;03 - 90;BOONE;US
03;Arkansas;03 - 91;BRADLEY;US
03;Arkansas;03 - 92;CALHOUN;US
25;Cundinamarca;25 - 839;UBALÁ;CO
85;Casanare;85 - 250;PAZ DE ARIPORO;CO
05;Antioquia;05 - 197;COCORNÁ;CO
03;Arkansas;03 - 93;CARROLL;US
03;Arkansas;03 - 94;CHICOT;US
03;Arkansas;03 - 95;CLARK;US
25;Cundinamarca;25 - 843;VILLA DE SAN DIEGO DE UBATE;CO
85;Casanare;85 - 279;RECETOR;CO
05;Antioquia;05 - 209;CONCORDIA;CO
03;Arkansas;03 - 96;CLAY;US
03;Arkansas;03 - 97;CLEBURNE;US
03;Arkansas;03 - 98;COLUMBIA;US
