VALUE,DATE
82342.0,2016-02-01 00:00:00.0000000
18152.0,2011-05-01 00:00:00.0000000
16017.0,2018-08-01 00:00:00.0000000
34194.0,2013-01-01 00:00:00.0000000
17718.0,2015-04-01 00:00:00.0000000
38085.0,2012-03-01 00:00:00.0000000
12446.0,2011-07-01 00:00:00.0000000
22466.0,2014-01-01 00:00:00.0000000
18182.0,2017-02-01 00:00:00.0000000
12280.0,2010-09-01 00:00:00.0000000
16075.0,2014-08-01 00:00:00.0000000
16730.0,2017-12-01 00:00:00.0000000
14166.0,2014-11-01 00:00:00.0000000
13010.0,2016-06-01 00:00:00.0000000
54508.0,2010-11-01 00:00:00.0000000
11580.0,2014-03-01 00:00:00.0000000
10289.0,2016-09-01 00:00:00.0000000
8532.0,2010-04-01 00:00:00.0000000
23167.0,2013-05-01 00:00:00.0000000
26366.0,2017-04-01 00:00:00.0000000
9485.0,2011-02-01 00:00:00.0000000
20274.0,2013-07-01 00:00:00.0000000
17633.0,2016-11-01 00:00:00.0000000
15824.0,2018-04-01 00:00:00.0000000
19060.0,2012-12-01 00:00:00.0000000
18282.0,2016-01-01 00:00:00.0000000
19246.0,2010-06-01 00:00:00.0000000
83623.0,2016-03-01 00:00:00.0000000
17597.0,2011-06-01 00:00:00.0000000
15997.0,2018-09-01 00:00:00.0000000
39922.0,2013-02-01 00:00:00.0000000
16379.0,2015-05-01 00:00:00.0000000
32533.0,2012-04-01 00:00:00.0000000
14988.0,2011-08-01 00:00:00.0000000
25136.0,2014-02-01 00:00:00.0000000
17602.0,2017-03-01 00:00:00.0000000
16808.0,2010-10-01 00:00:00.0000000
18071.0,2014-09-01 00:00:00.0000000
14463.0,2018-01-01 00:00:00.0000000
9079.0,2014-12-01 00:00:00.0000000
14405.0,2016-07-01 00:00:00.0000000
50152.0,2010-12-01 00:00:00.0000000
10360.0,2014-04-01 00:00:00.0000000
8908.0,2016-10-01 00:00:00.0000000
10834.0,2010-05-01 00:00:00.0000000
19836.0,2013-06-01 00:00:00.0000000
25784.0,2017-05-01 00:00:00.0000000
12426.0,2011-03-01 00:00:00.0000000
16687.0,2013-08-01 00:00:00.0000000
16899.0,2016-12-01 00:00:00.0000000
14113.0,2018-05-01 00:00:00.0000000
12056.0,2013-01-01 00:00:00.0000000
15963.0,2016-02-01 00:00:00.0000000
20988.0,2010-07-01 00:00:00.0000000
84565.0,2016-04-01 00:00:00.0000000
19690.0,2011-07-01 00:00:00.0000000
35750.0,2013-03-01 00:00:00.0000000
15748.0,2015-06-01 00:00:00.0000000
38084.0,2012-05-01 00:00:00.0000000
11869.0,2011-09-01 00:00:00.0000000
33252.0,2014-03-01 00:00:00.0000000
18201.0,2017-04-01 00:00:00.0000000
20843.0,2010-11-01 00:00:00.0000000
16392.0,2014-10-01 00:00:00.0000000
15623.0,2018-02-01 00:00:00.0000000
11040.0,2015-01-01 00:00:00.0000000
16491.0,2016-08-01 00:00:00.0000000
45461.0,2011-01-01 00:00:00.0000000
10361.0,2014-05-01 00:00:00.0000000
10611.0,2016-11-01 00:00:00.0000000
11860.0,2010-06-01 00:00:00.0000000
22968.0,2013-07-01 00:00:00.0000000
25508.0,2017-06-01 00:00:00.0000000
10788.0,2011-04-01 00:00:00.0000000
16183.0,2013-09-01 00:00:00.0000000
14247.0,2017-01-01 00:00:00.0000000
13331.0,2018-06-01 00:00:00.0000000
12798.0,2013-02-01 00:00:00.0000000
16530.0,2016-03-01 00:00:00.0000000
19764.0,2010-08-01 00:00:00.0000000
77413.0,2016-05-01 00:00:00.0000000
20851.0,2011-08-01 00:00:00.0000000
46805.0,2013-04-01 00:00:00.0000000
19686.0,2015-07-01 00:00:00.0000000
32710.0,2012-06-01 00:00:00.0000000
15285.0,2011-10-01 00:00:00.0000000
29545.0,2014-04-01 00:00:00.0000000
19779.0,2017-05-01 00:00:00.0000000
12518.0,2010-12-01 00:00:00.0000000
16257.0,2014-11-01 00:00:00.0000000
14897.0,2018-03-01 00:00:00.0000000
12008.0,2015-02-01 00:00:00.0000000
15051.0,2016-09-01 00:00:00.0000000
42903.0,2011-02-01 00:00:00.0000000
9892.0,2014-06-01 00:00:00.0000000
10529.0,2016-12-01 00:00:00.0000000
10094.0,2010-07-01 00:00:00.0000000
17781.0,2013-08-01 00:00:00.0000000
26334.0,2017-07-01 00:00:00.0000000
12191.0,2011-05-01 00:00:00.0000000
18034.0,2013-10-01 00:00:00.0000000
16722.0,2017-02-01 00:00:00.0000000
16698.0,2018-07-01 00:00:00.0000000
11855.0,2013-03-01 00:00:00.0000000
15877.0,2016-04-01 00:00:00.0000000
20150.0,2010-09-01 00:00:00.0000000
80967.0,2016-06-01 00:00:00.0000000
22139.0,2011-09-01 00:00:00.0000000
40620.0,2013-05-01 00:00:00.0000000
15019.0,2015-08-01 00:00:00.0000000
33994.0,2012-07-01 00:00:00.0000000
13713.0,2011-11-01 00:00:00.0000000
28500.0,2014-05-01 00:00:00.0000000
18779.0,2017-06-01 00:00:00.0000000
12505.0,2011-01-01 00:00:00.0000000
17205.0,2014-12-01 00:00:00.0000000
17842.0,2018-04-01 00:00:00.0000000
10374.0,2015-03-01 00:00:00.0000000
13845.0,2016-10-01 00:00:00.0000000
53245.0,2011-03-01 00:00:00.0000000
12225.0,2014-07-01 00:00:00.0000000
9380.0,2017-01-01 00:00:00.0000000
10839.0,2010-08-01 00:00:00.0000000
22057.0,2013-09-01 00:00:00.0000000
24395.0,2017-08-01 00:00:00.0000000
12206.0,2011-06-01 00:00:00.0000000
16574.0,2013-11-01 00:00:00.0000000
16423.0,2017-03-01 00:00:00.0000000
17112.0,2018-08-01 00:00:00.0000000
14634.0,2013-04-01 00:00:00.0000000
15238.0,2016-05-01 00:00:00.0000000
19852.0,2010-10-01 00:00:00.0000000
70809.0,2016-07-01 00:00:00.0000000
18584.0,2011-10-01 00:00:00.0000000
41275.0,2013-06-01 00:00:00.0000000
13876.0,2015-09-01 00:00:00.0000000
37381.0,2012-08-01 00:00:00.0000000
15643.0,2011-12-01 00:00:00.0000000
30448.0,2014-06-01 00:00:00.0000000
20586.0,2017-07-01 00:00:00.0000000
12908.0,2011-02-01 00:00:00.0000000
14405.0,2015-01-01 00:00:00.0000000
13685.0,2018-05-01 00:00:00.0000000
9744.0,2015-04-01 00:00:00.0000000
17243.0,2016-11-01 00:00:00.0000000
47261.0,2011-04-01 00:00:00.0000000
10802.0,2014-08-01 00:00:00.0000000
9990.0,2017-02-01 00:00:00.0000000
11920.0,2010-09-01 00:00:00.0000000
23531.0,2013-10-01 00:00:00.0000000
23808.0,2017-09-01 00:00:00.0000000
9920.0,2011-07-01 00:00:00.0000000
17005.0,2013-12-01 00:00:00.0000000
13798.0,2017-04-01 00:00:00.0000000
16497.0,2018-09-01 00:00:00.0000000
14864.0,2013-05-01 00:00:00.0000000
15359.0,2016-06-01 00:00:00.0000000
19241.0,2010-11-01 00:00:00.0000000
12815.0,2010-01-01 00:00:00.0000000
88797.0,2016-08-01 00:00:00.0000000
19738.0,2011-11-01 00:00:00.0000000
44560.0,2013-07-01 00:00:00.0000000
13586.0,2015-10-01 00:00:00.0000000
32359.0,2012-09-01 00:00:00.0000000
12317.0,2012-01-01 00:00:00.0000000
